,id,password,gender,age,name,surname,doctortc,doctorname,doctorsurname
0,[18575902863],[622240],MALE,[28],MEMİDİK,ÇOMUT,[27239790155],NAİMEE,ESEN
1,[38067646152],[217867],MALE,[66],ASROR,ULUSOY,[27239790155],NAİMEE,ESEN
2,[45534317096],[750898],MALE,[74],NÜSRET,AZAK,[87544296898],ŞEYDEGÜL,BALLI
3,[48142142564],[987571],MALE,[72],ERSAVAŞ,ÇİLDİR,[85317912160],SEFURİYE,ORHAN
4,[33442492607],[663466],MALE,[49],SENAF,KILIÇCIOĞLU,[52754891914],ŞİDANİ,İNER KÖKSAL
5,[12539045077],[926087],MALE,[68],HAMPAR,İLBAY,[70818556531],EYYİP,SUNGAR
6,[61281952670],[495410],MALE,[65],M.EMİN,SEYREK,[58231004649],KICEY,TURGUT
7,[14727520323],[224045],MALE,[68],ATALİ,ZENGİN,[58231004649],KICEY,TURGUT
8,[40599475780],[924750],MALE,[70],NEZAKİ,SÖZER,[75963590692],NÜRSEMAN,HOŞER
9,[96371054821],[411902],MALE,[44],ARKUL,GÖRMELİ,[93249538144],FATMABANİ,OĞUZ
10,[69065778969],[669686],MALE,[48],EVZEL,ONAT,[48334014215],SADURET,ÇELİKTEN
11,[86975299609],[432742],MALE,[45],İFRAZ,KIZILTEPE,[88318643259],MEDİHHA,DADLI
12,[18821827690],[482628],MALE,[57],ŞENAKİ,CAF,[93249538144],FATMABANİ,OĞUZ
13,[24166752022],[190266],MALE,[29],APDUSSAMED,PİRİ,[48334014215],SADURET,ÇELİKTEN
14,[48278510594],[740597],MALE,[78],MUSAMETDİN,SUCAK,[16434230806],HASEN,AKTAŞ
15,[93852575827],[400412],MALE,[28],GÖVAY,DİNLER,[75947312415],NUKAY,KILIÇOĞLU
16,[26021821625],[704719],MALE,[32],MUKDETTİN,GÜVEN,[48334014215],SADURET,ÇELİKTEN
17,[93965129109],[933011],MALE,[43],BÜMİN,PAKSOY,[27239790155],NAİMEE,ESEN
18,[89245282889],[314137],MALE,[22],AYTUT,HIDIROĞLU,[75963590692],NÜRSEMAN,HOŞER
19,[63410018958],[636525],MALE,[54],ABDULFERZ,ÇETİNKAYA,[93249538144],FATMABANİ,OĞUZ
