,id,name,surname,password
0,[78020110113],SABAHİLDİN,CERAN,658636
1,[64261343732],MEHMETSİTTİK,YAKUT,616705
2,[52754891914],ŞİDANİ,İNER KÖKSAL,761473
3,[26125073818],KEVORG,KURTPINAR,482271
4,[75947312415],NUKAY,KILIÇOĞLU,191267
5,[97575984096],GÜNBAY,AKTAN,624178
6,[70818556531],EYYİP,SUNGAR,978382
7,[27239790155],NAİMEE,ESEN,161131
8,[75963590692],NÜRSEMAN,HOŞER,630909
9,[16434230806],HASEN,AKTAŞ,353671
10,[87544296898],ŞEYDEGÜL,BALLI,657182
11,[66350169105],MÜZELFE,ÇINKIR,989580
12,[87386471124],SEHRENAZ,DEMİRDAĞ,600724
13,[58231004649],KICEY,TURGUT,839132
14,[93249538144],FATMABANİ,OĞUZ,810066
15,[48334014215],SADURET,ÇELİKTEN,357608
16,[85317912160],SEFURİYE,ORHAN,718594
17,[53133610634],RUBAŞE,SARICA DAROL,445574
18,[67654134959],İKLİMİ,KEŞKEK,473950
19,[88318643259],MEDİHHA,DADLI,133540
